# N2 enrichment batch 1 (1~100)
# columns: headword	reading	meaning	part_of_speech	etymology	jp1	kr1	jp2	kr2
相互	そうご	상호, 서로	명사	相(서로 상): 두 그루의 나무(木)가 마주 봄 / 互(서로 호): 새끼줄을 엇갈리게 짠 모양	両国は相互に協力する関係にある。	양국은 상호 협력하는 관계에 있다.	相互理解を深めることが大切だ。	상호 이해를 깊이 하는 것이 중요하다.
規模	きぼ	규모	명사	規(법 규): 컴퍼스로 그린 둥근 법칙 / 模(본뜰 모): 나무(木)로 만든 본보기	この工場は世界最大の規模を誇る。	이 공장은 세계 최대의 규모를 자랑한다.	事業の規模を拡大する計画だ。	사업의 규모를 확대할 계획이다.
辛い	からい	맵다	い형용사	辛(매울 신): 죄인의 얼굴에 새기던 형벌 도구의 모양 → 매서움, 매움	このカレーはとても辛い。	이 카레는 매우 맵다.	辛い料理が苦手だ。	매운 요리를 잘 못 먹는다.
触れる	ふれる	닿다, 언급하다	동사	触(닿을 촉): 뿔(角) 달린 벌레가 무언가에 부딪히는 모양	彼の心の傷に触れてしまった。	그의 마음의 상처를 건드리고 말았다.	政治的な話題には触れない方がいい。	정치적인 화제에는 언급하지 않는 게 좋다.
景色	けしき	경치	명사	景(볕 경): 햇빛(日)이 높이(京) 비치는 모양 / 色(빛 색): 사람의 얼굴빛에서 비롯된 글자	山頂からの景色が素晴らしかった。	산 정상에서 본 경치가 훌륭했다.	紅葉の景色を写真に収めた。	단풍 경치를 사진에 담았다.
尊重する	そんちょうする	존중하다	동사	尊(높을 존): 술 단지(酋)를 손(寸)으로 받드는 모양 / 重(무거울 중): 사람이 짐을 진 모양	相手の意見を尊重するべきだ。	상대의 의견을 존중해야 한다.	個人の自由を尊重する社会を目指す。	개인의 자유를 존중하는 사회를 지향한다.
備える	そなえる	대비하다	동사	備(갖출 비): 화살통(用)에 화살을 갖추어 두는 모양	地震に備えて非常食を用意した。	지진에 대비해 비상식량을 준비했다.	老後に備えて貯金している。	노후에 대비해 저축하고 있다.
治療	ちりょう	치료	명사	治(다스릴 치): 물(氵)을 다스려 흐름을 바로잡음 / 療(병 고칠 료): 병(疒)을 횃불(尞)로 비추어 고침	病院でけがの治療を受けた。	병원에서 부상 치료를 받았다.	早期の治療が回復への近道だ。	조기 치료가 회복으로 가는 지름길이다.
防災	ぼうさい	방재	명사	防(막을 방): 둑(阝)으로 물을 막아내는 모양 / 災(재앙 재): 불(火)과 물(巛)이 일으키는 재앙	毎年九月に防災訓練を行う。	매년 9월에 방재 훈련을 실시한다.	防災グッズを家庭に常備しておく。	방재용품을 가정에 늘 비치해 둔다.
隣	となり	옆, 이웃	명사	隣(이웃 린): 마을(阝)이 도깨비불처럼 점점이 이어진 모양 → 가까이 있음	隣の人にあいさつをした。	옆 사람에게 인사를 했다.	私の家の隣にカフェがある。	우리 집 옆에 카페가 있다.
敗れる	やぶれる	패배하다	동사	敗(패할 패): 조개(貝)를 두드려(攵) 깨뜨리는 모양 → 무너지다	決勝戦で強豪チームに敗れた。	결승전에서 강호 팀에게 패배했다.	接戦の末、惜しくも敗れた。	접전 끝에 아쉽게 패배했다.
地元	じもと	고장, 현지	명사	地(땅 지): 흙(土)이 펼쳐진 곳 / 元(으뜸 원): 사람의 머리, 근원을 뜻함	彼は地元のサッカーチームを応援している。	그는 고향의 축구팀을 응원하고 있다.	地元の食材を使った料理を出す店だ。	현지 식재료를 사용한 요리를 내는 가게다.
